title,original_price,discount_price,rating,review_count,Battery_Capacity,Battery_Life,Battery_Voltage,Battery_Type,Charging_Time,Mileage_Per_Charge,Motor,Maximum_Speed,Weight
"Kidsmate Ride Xtreme Electric Bike for Kids | 6V Battery, MP3 Player, USB, Bluetooth, LED Lights & Foot Accelerator | Battery-Operated Ride-On Bike with Backrest for Boys & Girls Aged 1-5 Years","18,999","4,499.",3.5,825,4ah,5 year,6v,,1 hr,,00 w,,30 kg
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL001_ Peacock Blue),,"35,998.",,,5.8ah,,500 v,li-ion,,30 km,350w,25 km/h,70 kg
MATELCO Ultra EA27 Electric Bicycle 27.5 Inch Pedal Assist with Double Disc Breakers Yellow (7.5 AH),,"35,998.",,,7.5 ah,1 year,500 v,lithium-ion,4 hours,35kms,250w,,120 kg
MATELCO IRIS Ei26 Aluminium Alloy 26 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,"49,999","37,999.",,,,1 year,500 v,lithium-ion,14hr,33 km,00 w,33 km/h,20 kilograms
"Series E Electric Cycle 26"" Fat Tyres with Front Suspension Dual Disc Brakes 21-Speed Gears Fast Charging Up to 40 Km Range on PAS Make in India Certified (Grey)","55,999","44,999.",,,5.8ah,1 year,500 v,lithium-ion,12 hrs,40 km,00 w,25 kmph,
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL002_Red),,"35,998.",,,5.8ah,,500 v,li-ion,,30 km,350w,25 km/h,70 kg
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 13AH)","37,400","37,399.",,,13ah,1 year,500 v,li-ion,12 hrs,35-40 km,96w,,80 kilograms
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL003_ Grey),,"35,998.",,,5.8ah,,500 v,li-ion,,120 kms,350w,25 km/h,70 kg
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL003_Red),,"35,998.",,,5.8ah,,500 v,li-ion,,30 km,350w,25 km/h,70 kg
ALTIS Love 1.9 KW Lithium ION Battery Electric Bicycles (Red),"99,999","79,000.",,,15.6ah,,500 v,lithium ion,12 hrs,105km,00 w,95 km/h,120 kg
"MATELCO Ubero Electric Cycle 26"" inch MTB Cycle Front Suspension Double Disc Brake 26 T Mountain Cycle (Single Speed, White)",,"5,912.",,,5.8ah,1 year,500 v,li-ion,,105km,250w,,25 kilograms
"EMotorad Xcape G1 Electric Cargo Cycle, 48V 250W Motor, 100km Range, Dual Batteries, Heavy-Duty Frame, Black (Orange)",,"79,999.",5.0,1,10.2ah,2 year,48v,li-ion,6 hours,100km,250w,,150 kg
"Ultrabikes Cityride Moped | 60V 25Ah Lithium Ion Battery | 550 Watt Motor | 50 Top Speed | Upto 80 Km in Single Charge. (Black), for Adult",,"45,999.",2.3,5,25ah,2 year,60v,lithium ion,4 hours,80 km,550 w,40 kmph,160 kilograms
"Bhavanath Electric Vahicel - Komakii Xgt Km Electric Ebike ! 2 Wheeler ! E Scooty(Liad Charger) (White), Unisex Children","92,999","90,000.",,,2ah,,500 v,,,25 km,2 w,25 km/h,150 kg
Neelam SHOCKBUZZ NP 1.0 Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 36V-250W |7.8AH|Susp.Fork|Battery Indication Display |Saddle with Memory Foam Color- L.Grey,"31,241","26,499.",,,7.8ah,2 year,36v,,12 hrs,25-30 km,250w,,25 kilograms
Neelam SHOCKBUZZ NP 1.0 Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 10.4 AH|Susp. Fork|Battery Indication Display |Saddle with Memory Foam|L.Grey,"33,489","27,999.",,,10.4 ah,2 year,500 v,li-ion,12 hrs,35-40 km,00 w,,25 kilograms
Stryder Zeeta Plus IC 27.5T Electric Bicycle/Cycle | 36V Li-Ion Battery | Single Speed Rigid Suspension|Dual Disc Brake with Auto Cut Functionality |Adjustable Seat Height| Ideal for 12+ Years (Black),,"10,241.",1.0,1,7.65ah,2 year,36v,li-ion,3 hours,30 km,250w,25 km/h,100 kg
"Mild Steel Hub Motor Autoline Espeed 24 Electric Bicycle, 4 Hours","29,999","27,999.",,,11 ah,1 year,500 v,li-ion,4 hours,25 km,00 w,25 kmph,
Enakshi Generic Bike Seat with Backrest for Road Bicycle Electric Bike Tricycle|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Bike Saddle with Backrest,"8,103","5,402.",,,,,500 v,,12 hrs,,00 w,,
"NEXOVA 14 T Rocky SkyBlue Cycle 14 T Inch Road Cycle (Single Speed, Blue, Rigid)","9,629","6,419.",,,,5 year,500 v,,6hr,,00 w,,
Club Bollywood® Electric Bicycle LCD Display 24V 36V 48V Scooter LCD Panel M5 E Bike Display|Sporting Goods | Cycling |Electric Bicycle Components|0,"8,810","5,318.",,,,,24v,,12 hrs,,00 w,,
36V/48V 350W Electric Bicycle E-Bike Brushless DC Motor Speed Controller|Sporting Goods | Cycling |Electric Bicycle Components|1 Piece E Bikes Motor Controller,"3,100","2,010.",,,,1 year,36v,,12 hrs,,350w,,
Enakshi E-Bike Rear Light 6V-60V Night Tailight Easy Install Fit for Electric Bike Waterproof Connector|Sporting Goods|Cycling|Bicycle Accessories |Package Includes:1 x Tailight,"2,549","1,699.",,,,,6v,,12 hrs,,00 w,,
Women's Short Sleeve Cycling Jersey Jacket Cycling Shirt Quick Dry Breathable Mountain Clothing Bike Top,"16,329","12,838",4.3,"1,292",,,500 v,,12 hrs,,00 w,,
"2 Pack 26"" E-Bike Fat Tires Heavy Duty 26 x 4.0 and 26"" Bike Tubes 26 x 4.0/4.5 AV32mm Schrader Valve and 2 Nylon Rim Strips Compatible with 26"" x 4.0"" Electric Bike/Mountain Bike Tires and Tubes",,"31,192.",4.7,363,,,500 v,,12 hrs,,,,
Electric Scooter Child Seat Front for Motorcycle Pedal Scooter Electric Bike black1 Seat1 Storage 1 StrapSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,"12,829","8,600.",,,,1 year,500 v,,12 hrs,,00 w,,2 kg
BNF®E-Bike Rear Light 6V-60V Night Tailight Easy Install Fit for Electric Bike Waterproof Connector|Sporting Goods|Cycling|Bicycle Accessories |Package Includes:1 x Tailight,"2,865","1,685.",,,,1 year,6v,,12 hrs,,00 w,,
Bicycle Front Seat for Kids for 6 Months - 8 Years Old Mountain Bike Outdoor Black1 Kids Bicycle Front SeatSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,"16,124","8,891.",,,,8 year,500 v,,12 hrs,,00 w,,
Enakshi Electric Bike LCD Display 22.2mm Dia Handlebar Accessories LCD Display Meter|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Electric Bike LCD Display,"7,895","5,263.",,,,,500 v,,12 hrs,,00 w,,9kg
Bicycle Front Seat for Kids for 6 Months - 8 Years Old Mountain Bike Outdoor Brown with Armrests1 Kids Bicycle Front SeatSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,"16,847","9,333.",,,,8 year,500 v,,12 hrs,,00 w,,2 kg
Electric Bicycles Front Mount Seat Portable Kids Seat Saddle Handrail1 Front Seat Saddle for ChildSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,"20,935","8,286.",,,,1 year,500 v,,12 hrs,,00 w,,
CLUB BOLLYWOOD® 3X E Bike Motor Gear Part Electric Bicycle Nylon Gear for Bicycle Motorcycle|Sporting Goods | Cycling |Electric Bicycle Components|0,"2,361","1,389.",,,,1 year,500 v,,12 hrs,,00 w,,
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Purple|1 Set Bike Water Bottle,"1,920","1,170",,,,,500 v,,12 hrs,,00 w,,
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Blue|1 Set Bike Water Bottle,"1,923","1,170",,,,,500 v,,12 hrs,,00 w,,
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Black|1 Set Bike Water Bottle,"1,948","1,100",,,,,500 v,,12 hrs,0km,00 w,,
VELURA Kids Bike Training Wheels Sturdy for 16-24 inch Kids Bike for Riding Cycling|1 Pair Children Bikes Auxiliary Wheels|Training Wheels| Cycling |Sporting Goods,"7,526","4,027.",,,,,500 v,,12 hrs,,00 w,,
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Pink|1 Set Bike Water Bottle,"1,920","1,170",,,,,500 v,,12 hrs,,00 w,,
BNF®Bike Computer Mount Adapter Base Accessories Adjustable Action Camera Holder Hollow|Sporting Goods|Cycling|Bicycle Electronics |Package Includes:1 Set Bike Computer Mount,"3,654","2,149.",,,,1 year,500 v,,12 hrs,,00 w,,
BNF®Electric Bike LCD Display 22.2mm Dia Handlebar Accessories LCD Display Meter|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Electric Bike LCD Display,"7,114","4,185.",,,,1 year,500 v,,12 hrs,,00 w,,
CLUB BOLLYWOOD®CB-Kids Bike Basket Front Decoration Carrying Handlebar Basket for Boys Camping|Sporting Goods |Cycling |Bicycle Accessories |1 Kids Bike Basket,"2,797","1,638.",,,,,500 v,,12 hrs,,00 w,,
VELURA Bike Rear Derailleur Hanger Extender Adapter Parts Compatible Large Sprocket Black|1 Bike Derailleur Hanger Extender|Derailleurs (Rear)| Cycling |Sporting Goods,"1,480",776.,,,,,500 v,,12 hrs,,00 w,,
VELURA Kids Bike Tire High Performance Good Water Drainage Easy Installation Rubber Dia 40 cm|1 Bike Outer Tire|Tires| Cycling |Sporting Goods,"3,370","1,773.",,,,,500 v,,12 hrs,,00 w,,
VELURA Back Seat Cargo Carrier Rear Bike Basket for Mountain Bike for Cycling Bikes with Lid|1 Rear Bike Basket|Baskets| Cycling |Sporting Goods,"8,008","4,705.",,,,,500 v,,12 hrs,,00 w,,13kg
VELURA Kids Bike Helmet Set Portable for Skateboarding Outdoor Sports Rollerblading Pink|1x Helmet|Helmets| Cycling |Sporting Goods,"3,204","1,580.",,,,,500 v,,12 hrs,,00 w,,
VELURA Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Purple|1 Set Bike Water Bottle,"2,160","1,105",,,,,500 v,,12 hrs,,00 w,,
VELURA Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Purple|1 Set Bike Water Bottle |Sporting Goods|Sporting Goods|Sporting Goods,"2,160","1,105.",,,,,500 v,,12 hrs,,00 w,,
